Amazon ID (ASIN),Filename,Image URL,Title,Author,Category ID,Category
044847915X,044847915X.jpg,http://ecx.images-amazon.com/images/I/5186-oT97rL.jpg,What Was Ellis Island?,Patricia Brennan Demuth,4,Children's Books
374416966,0374416966.jpg,http://ecx.images-amazon.com/images/I/51pMCbuBJWL.jpg,A Day of Pleasure: Stories of a Boy Growing Up in Warsaw,Isaac Bashevis Singer,4,Children's Books
747541930,0747541930.jpg,http://ecx.images-amazon.com/images/I/51YjfbQpatL.jpg,The Selfish Crocodile,Faustin Charles,4,Children's Books
1577650735,1577650735.jpg,http://ecx.images-amazon.com/images/I/211ZXQpXxNL.jpg,Safety on Your Bicycle (Safety First),Joanne Mattern,4,Children's Books
1580375235,1580375235.jpg,http://ecx.images-amazon.com/images/I/51dwXMAWEbL.jpg,"Simple Machines, Grades 6 - 12: Force, Motion, and Energy (Expanding Science Skills Series)",John B. Beaver Ph.D.,4,Children's Books
756550246,0756550246.jpg,http://ecx.images-amazon.com/images/I/41vR6A3YczL.jpg,Social Media: Like It or Leave It (Perspectives Flip Books: Issues),Rebecca Rowell,4,Children's Books
761462392,0761462392.jpg,http://ecx.images-amazon.com/images/I/51RvGwj1soL.jpg,Turkey Claus,Wendi Silvano,4,Children's Books
547721285,0547721285.jpg,http://ecx.images-amazon.com/images/I/61BbgzVNf2L.jpg,We Go Together!: A Curious Selection of Affectionate Verse,Calef Brown,4,Children's Books
803731930,0803731930.jpg,http://ecx.images-amazon.com/images/I/51ji-jeEBsL.jpg,Baby Signs,Joy Allen,4,Children's Books
316299987,0316299987.jpg,http://ecx.images-amazon.com/images/I/61OfZE9BB%2BL.jpg,Minions: Dracula's Last Birthday,Lucy Rosen,4,Children's Books
1484724968,1484724968.jpg,http://ecx.images-amazon.com/images/I/51e0F0%2B0VsL.jpg,Journey to Star Wars: The Force Awakens The Weapon of a Jedi: A Luke Skywalker Adventure,Jason Fry,4,Children's Books
1609054288,1609054288.jpg,http://ecx.images-amazon.com/images/I/51eKyRJ2OhL.jpg,Does a Woodpecker Use a Hammer? (Think About...),Harriet Ziefert,4,Children's Books
736854894,0736854894.jpg,http://ecx.images-amazon.com/images/I/61jhpcNcSqL.jpg,Wilma Rudolph: Olympic Track Star (Graphic Biographies),Lee Engfer,4,Children's Books
786851759,0786851759.jpg,http://ecx.images-amazon.com/images/I/51LbNiluaqL.jpg,Moses: When Harriet Tubman Led Her People to Freedom (Caldecott Honor Book),Carole Boston Weatherford,4,Children's Books
61921122,0061921122.jpg,http://ecx.images-amazon.com/images/I/6134VEUxRUL.jpg,"Kindergators: Hands Off, Harry!",Rosemary Wells,4,Children's Books
823421570,0823421570.jpg,http://ecx.images-amazon.com/images/I/31bjCbSaktL.jpg,The Planets,Gail Gibbons,4,Children's Books
1494240106,1494240106.jpg,http://ecx.images-amazon.com/images/I/41MFmcI%2BOpL.jpg,Optical Physics for Babies (Volume 3),Chris Ferrie,4,Children's Books
789478293,0789478293.jpg,http://ecx.images-amazon.com/images/I/51P1870RD4L.jpg,Walking with Beasts: A Prehistoric Safari,Tim Haines,4,Children's Books
1432940074,1432940074.jpg,http://ecx.images-amazon.com/images/I/517Q64Ih-%2BL.jpg,Jellyfish (A Day in the Life: Sea Animals),Louise Spilsbury,4,Children's Books
1597313696,1597313696.jpg,http://ecx.images-amazon.com/images/I/51ySKABlAGL.jpg,A Picturesque Tale of Progress: New Nations V,Olive Beaupre Miller,4,Children's Books
553497723,0553497723.jpg,http://ecx.images-amazon.com/images/I/51FudzIvJvL.jpg,Magic Tree House Super Edition #1: Danger in the Darkest Hour (A Stepping Stone Book(TM)),Mary Pope Osborne,4,Children's Books
086171573X,086171573X.jpg,http://ecx.images-amazon.com/images/I/51dYOGXKQrL.jpg,Moody Cow Meditates,Kerry Lee MacLean,4,Children's Books
1465428496,1465428496.jpg,http://ecx.images-amazon.com/images/I/51c44fN8iBL.jpg,"DK Workbooks: Geography, Third Grade",DK,4,Children's Books
448446561,0448446561.jpg,http://ecx.images-amazon.com/images/I/51yLPmLvwBL.jpg,"Fake Out!: Animals That Play Tricks (Penguin Young Readers, Level 3)",Ginjer L. Clarke,4,Children's Books
689845006,0689845006.jpg,http://ecx.images-amazon.com/images/I/61vVe%2B27o8L.jpg,The Year At Maple Hill Farm,Alice Provensen,4,Children's Books
448481529,0448481529.jpg,http://ecx.images-amazon.com/images/I/51mPe%2BsIeSL.jpg,Stop That Frog! #3 (Here's Hank),Henry Winkler,4,Children's Books
074596494X,074596494X.jpg,http://ecx.images-amazon.com/images/I/51Lu%2BGP1EHL.jpg,The Lion Storyteller Bedtime Book,Bob Hartman,4,Children's Books
1457187124,1457187124.jpg,http://ecx.images-amazon.com/images/I/619KyosLmqL.jpg,Make: Volume 46: Hack Your Ride (Make: Technology on Your Time),,4,Children's Books
803737319,0803737319.jpg,http://ecx.images-amazon.com/images/I/51JF7wWU1uL.jpg,Hanging Off Jefferson's Nose: Growing Up On Mount Rushmore,Tina Nichols Coury,4,Children's Books
1432904833,1432904833.jpg,http://ecx.images-amazon.com/images/I/51sRrayyUgL.jpg,¿Qué es la Corte Suprema? (Mi primera guía acerca del gobierno) (Spanish Edition),Nancy Harris,4,Children's Books
1442489375,1442489375.jpg,http://ecx.images-amazon.com/images/I/619PpqaSLTL.jpg,Heidi Heckelbeck and the Tie-Dyed Bunny,Wanda Coven,4,Children's Books
763669288,0763669288.jpg,http://ecx.images-amazon.com/images/I/512jvo6DxIL.jpg,Beyond Courage: The Untold Story of Jewish Resistance During the Holocaust,Doreen Rappaport,4,Children's Books
316140589,0316140589.jpg,http://ecx.images-amazon.com/images/I/518oxqEWapL.jpg,Tough to Tackle (Matt Christopher Sports Classics),Matt Christopher,4,Children's Books
545734096,0545734096.jpg,http://ecx.images-amazon.com/images/I/51AOSDzUEVL.jpg,Bob Books: First Stories,Lynn Maslen Kertell,4,Children's Books
764138529,0764138529.jpg,http://ecx.images-amazon.com/images/I/515Kve6zS3L.jpg,Degas and the Little Dancer (Anholt's Artists Books For Children),Laurence Anholt,4,Children's Books
688115128,0688115128.jpg,http://ecx.images-amazon.com/images/I/61zPWrN8BjL.jpg,Stories in Time: Library Book Grade 5 Discovery of the Americas (Discovery of the Americans),HARCOURT SCHOOL PUBLISHERS,4,Children's Books
1426314035,1426314035.jpg,http://ecx.images-amazon.com/images/I/51XARI3WHDL.jpg,National Geographic Kids World Atlas,National Geographic,4,Children's Books
1442433558,1442433558.jpg,http://ecx.images-amazon.com/images/I/510mpgSy8vL.jpg,Strega Nona: Book & CD,Tomie dePaola,4,Children's Books
1419713094,1419713094.jpg,http://ecx.images-amazon.com/images/I/51DpIBKsGLL.jpg,The Rainbow Serpent: A Kulipari Novel,Trevor Pryce,4,Children's Books
1617838446,1617838446.jpg,http://ecx.images-amazon.com/images/I/51VOCVxclSL.jpg,Gymnastics by the Numbers (Sports By the Numbers),Desirée Bussiere,4,Children's Books
1465420592,1465420592.jpg,http://ecx.images-amazon.com/images/I/51JC-vhXyQL.jpg,DK Eyewitness Books: World War II,Simon Adams,4,Children's Books
439222257,0439222257.jpg,http://ecx.images-amazon.com/images/I/516PT6ES9DL.jpg,"Digi-Know?!: The Official Book of Digimon Facts, Trivia, and Fun (Digimon (Scholastic Paperback))",Michael Teitelbaum,4,Children's Books
